pull,拉；拉动；拖；吸引;拉；吸引力；拽；扯;拔；拉动式；拉力
return,返回；回报；回来；收益;返回；回报；回来；恢复;归还；回归；返回值
free,免费；脱离束缚;释放；使摆脱；解除或去除清除；使可用于某目的;能随自己意愿的；随心所欲的；不受限制的；不受约束的;自由；自由的；免费的
military,军队；军方；军人;军事的；军队的；武装的;军用的；军人的
price,价格；代价；荣耀；赌注与赢款之间的差额;定价；标上价目；购买前比较价格;价钱；报价；单价
report,报告；报道；汇报；举报;报告；报道；汇报；调查报告;报表；报导；传说
less,少；较少；更少；较小;较少;减去；扣除;较小的；较次的；身分较低的;较少的；更少的；更小的
according,调和；和谐；和解；自顾;使一致；与符合；给予礼遇等；予以;按照；依照；一致的
decision,决策；抉择；果断；决断力;决定；决心；决议
explain,解释；说明；阐明；说明的原因;讲解；向某人解释某事；辩解
son,儿子；子孙；年长者对年轻男子或男孩的爱称孩子;女婿；声音；一个声音
hope,希望；期望；希望的东西；期望的事情;希望;盼望；霍普；希望镇
even,即使；还；其实;平滑的；平的；平坦的；数量速度等变化不大的;使平均；使相等；把弄平坦；变平坦;黄昏;甚至；偶数；更
develop,发展；开发；研制；发挥;显影；发育；发达
view,查看；观看；把视为；以看待;看；视野；观看；风景;视图；观点；检视
relationship,关系；联系；情爱关系；性爱关系;人际关系；亲属关系；关联性
carry,携带；搬；拿；提;携带；〈美〉运输；空；两条水道间陆上运送;搬运；进位；运载
town,镇；市镇；集镇；某一市镇的居民;城镇；城市；小镇
road,道路；公路；途径；方法;狗闻着臭迹追;马路；公路车；大道
drive,驱车旅行；驾车路程；传动或驱动装置;驾驶；开车；驾车送人；拥有或驾驶汽车;亡命驾驶；驱动器；落日车神
arm,臂；手臂；扶手；上肢;武装；装备；备战；使炸弹等随时爆炸;胳膊；精简指令的芯片；武器
TRUE,符合事实的；确实的；如实的；真正的而非表面上的;笔直地；不偏不斜地；直言相告；实话实说;配准；校准；整形;为真；真实的；真的
federal,联邦主义者；美史北部联邦同盟盟员；联邦政府战士；联邦政府拥护者;联邦制的；在美国加拿大等联邦制下联邦政府的;联邦的；联盟的；联合的
break,中断；休息；破裂；机会;中断；破坏；碎；打断;打破；断裂；打碎
better,更好；更愉快；不那么差；较大程度地;痊愈；较好的；更好的；能力更强的;胜过；超过；上进;更好的事物；较好者；更有才智者；更重要的人;更好地；贝特尔；改善
difference,差异；差别；差额；不同之处;使有差别;区别；差值；分歧
thank,谢谢；为某事道谢;感谢;致谢；谢意；感激
receive,接收；收到；接待；接到;接受；得到；接见
value,值；价值观；数值；用途;重视；珍视；给估价；给定价;明度；的值；的最大数值
international,国际体育比赛；国际体育比赛选手；外国人;国际的;世界的；国际化；国际性
building,建筑；建筑物；楼房；房子;的现在分词;大楼；房屋；大厦
action,行动；行为；诉讼；战斗;确保处理某事;动作；操作；作用
full,满；把裙子缝出皱褶；印纺蒸洗；缩绒;完全；极盛时;满的；充满的；满是的；有大量的;直接地；径直地;完全的；全部；完整
model,型；模范；典型；模特儿;做模特儿；向顾客穿戴展示；将做成模型；复制;模范的;型号；机型；产品型号
join,加入；参加；连接；参与;连接处；接合点;合并；联结；结合
season,季节；旺季；雨季；一部戏剧在一地的演出期;加调料调味；加作料;赛季；时节；四季
society,学会；协会；社团；交往;社会；团体；社交界
because,因为;原因；由于；强调后面的是原因
tax,税；税款;课税；对征税；使纳税；缴纳车辆牌照税;税收；税金；税务
director,董事；经理；理事；某一活动的负责人;导演；主任；总监
early,提前；提早；在早期；在初期;早期的；初期的；早先的；早到的;厄利;早的；早早地
position,位置；地位；职位；立场;安置；安装；使处于;定位；职务；头寸
player,玩家；运动员；播放机；演员;选手；播放器；球员
agree,同意；一致；赞成；答应;赞同；承认；适合
especially,尤其；特别；专门；非常;格外；特别是；尤其是
record,记录；唱片；记载；经历;记录；录制；记载；录音;纪录；战绩；录音
pick,选择；挑选；摘；采;选择；挑选；精华；选中的人或物;采摘；拾取；拨片
wear,尤用于商店时穿的衣服；衣着；穿着；穿戴;穿；戴；佩戴；留发须等;不磨损的;磨耗；佩带；戴着
paper,纸；纸张；论文；文件;贴壁纸;报纸；纸类；文章
special,特别节目；特制品；特价处理;不寻常的；特定的；特别的；很重要的;特殊的；专门的；专题
space,空间；太空；空格；空白;以一定间隔排列;个人空间；空格键；空白键
ground,地面；土；土地；土壤;触海底；使停飞；阻止起飞；罚儿童不准出去玩;磨细的；剁碎的;接地；地线；场地
form,形式；表格；形状；样子;组成；建立；组织；产生;成为；是;表单；窗体；形成
support,支持；支护；支撑；支援;支持；支护；支撑；支承;技术支持；支架；支持度
event,大事；发生的事情；公开活动；社交场合;事件；比赛项目；一个事件
official,官员；要员；高级职员;公务的；公职的；公事的；正式的;官方的；公务员；官员的
whose,其；用于问句谁的；进一步提供信息时用;他她的；那些人的；它们的；谁的;定语；哪人的那些的；通常指人
matter,问题；事情；材料；事态;要紧；事关紧要；有重大影响;物质；事件；有关系
everyone,人人；所有人；每人;每个人；大家；每一个人
center,中心；中央；核心；圆心;居中；把置于中部；有中心；做中锋;中点的;居中对齐；中心点
couple,情侣；两人；两件事物；几个人;结合；性交；交配;夫妇；一对；力偶
site,网站；站点；现场；位置;使坐落在；为选址;场所；地点；场地
end,结束；结尾；尽头；末端;结束；终止;终点；显示当前窗口的底端；结局
project,工程；方案；计划；生产或研究等项目;计划；规划；投影；投射;专案；课题
hit,打；打击；击中；命中;打；击中；命中；很受欢迎的人或事物;碰撞；命中率
base,根基；基底；底座；根据;卑鄙的；不道德的;以为据点或大本营等；把总部等设在;基础；基地；碱
activity,活动；活跃；热闹状况；为兴趣娱乐或达到一定目的而进行的活动;活力；活度；活性
star,用星装饰的；戴着星章的；标有星号的；主演的;恒星；星状物；星形饰物；星号;主演；担任主角；使主演；由担任主角;星星；明星；星牌
table,表；桌子；一览表；台子;正式提出；将主意建议等搁置;表格；数据表；餐桌
need,需要；必须；特别需要；迫切要求;需要；必需；表示应该或不得不做有必要;必须；这句话;表示没有必要或询问是否有必要需要;需求；的用法；需要的
court,法院；宫廷；院子；求婚;追求；求婚；寻求；吸引;球场；法庭；庭院
produce,生产；制造；制作；出示;产品；尤指农产品;产生；出产；产物
eat,吃；吃饭；用餐;食；喝；进食
American,美洲人；尤指美国人；美国英语;美洲的；尤指美国的;美式；美国人的；美式起司
teach,教；教导；教授；教育;教书；讲授；教学
oil,石油；原油；燃油；润滑油;给加润滑油;油润滑；机油；加油
half,一半；比赛音乐会等的半场；啤酒等饮料的半品脱;半；半数；绝大部分时间乐趣麻烦等；到一半程度;一半的；一部分的；不完全的;半场-；半个；二分之一
situation,情况；〈正式〉工作；地点;情境；形势；情景
easy,容易的；轻易的；不费力的；舒适的;小心；慢些；轻点;桨手的歇气；老好人;简单；简单的；安逸的
cost,成本；费用；代价；花费;估价；需付费；价钱为；使丧失;价格；价值；开销
industry,工业；行业；勤奋；生产制造;产业；所属行业；行业动态
figure,图形；人物；身材；体形;认为；是重要部分；是的部分；计算数量或成本;数字；外形；形状
face,脸；面孔；表面；面部表情;面对；面临；面向；应付;面子
street,街道；大街；尤指城市里街头民意;街头的;马路；街区；街式
image,图像；形象；影像；意象;反映；想像；象征；使成像;图片；图象；映像
itself,指施动并受其影响的动物或事物；用以强调某动物某事物等;它自己；它本身；自身
phone,电话；电话机；音素；电话听筒;打电话;手机；联系电话；电话号码
either,两者中的任何一个；各方；用于否定词组后也；补充时说而且;两者之一的；两者之中随便哪一个的；两者中任何一方的;呢还是;两者中的任何一个;任一；二者之一；或者
data,数据；资料；材料；存储在计算机中的数据资料;数据段；数据区；数据库
cover,盖；覆盖；包括；掩盖;掩护；掩饰；封皮；罩子;封面；盖子；遮盖
quite,很；相当；非常；完全;十分；颇；彻底
picture,照片；图画；相片；描绘;想象；描述；描写；设想;图片；图像；画面
clear,转晴；批准；放晴；搬走;离开；不靠近；不接触；一直到远处;远离；清晰易懂的；明白清楚的；不含混的;同；机间隙；建中空体内部的尺寸;清除；透明；清晰的
practice,实践；惯例；训练；习惯;〈美〉同;练习；操练；做法
piece,块；片；条；段;结合；接；拼合；修理;件；碎片；一块
land,土地；陆地；大地；地产;降落；着陆；登陆；靠岸;国家
recent,近来的；新近的;最近的；最近打开的文档；近代的
describe,描述；形容；把称为；沿形状移动;描写；叙述；描绘
product,产品；产物；制品；积;产品中心；产品展示；产品分类
doctor,医生；博士；大夫；诊所;篡改；伪造；将有害物掺入食物或饮料中；阉割动物;医师；博士学位
wall,墙；壁；墙壁；城墙;用墙把围住;围墙；涂鸦墙；瓦力
patient,病人;有耐性的；不慌不忙;耐心的；患者；有耐心的
worker,工人；工作者；人员；工蜂;劳动者；工作人员；工作线程
news,新闻；消息；音信；新闻人物;新闻资讯；新闻中心；新闻动态
test,试验；测试；检测；测验;试验；检测；考试；测验;检验；考验；睾酮
movie,电影;影片；电影院；影视
certain,肯定；确定；确信；无疑;不提及人或事物的名称时用某些;确定的；肯定的；一定的
north,北；北方；北部；北部地区;北方的；向北的；北部的；北风的;朝北；向北；某物以北；超过;诺斯；诺思；北边
love,爱；爱情；热爱；恋爱;爱；喜欢；热爱；喜爱;爱心；真爱
personal,个人；人身攻击；法动产；语人称代名词;个人的；私人的；人际的；个性的;亲自的；个人化
open,打开；开放；开启；张开;开放；营业；坦诚；开放的;公开；户外；野外；旷野;打开文件；开路；开着的
support,支持；支护；支撑；支援;支持；支护；支撑；支承;技术支持；支架；支持度
simply,只是；简单地；简直；不过;仅仅；只不过；朴素地
third,第三；三分之一的;第三;三分之一；三等学位英国大学中低于平均水平的学位;坐三等车舱;第三名；第三的；第三次
technology,工艺；科技；工程技术；工艺学;工艺技术；特色技术；科学技术
catch,抓住；捕捉；捕获；接住;接球等；总捕获量；扣拴物；扣件;有趣味的；设有圈套的;赶上；捉住
step,步；步骤；台阶；步伐;踩；踏；行走；迈步;脚步；步长；踏板
baby,婴儿；动物幼崽；家庭或团体中最年幼的成员；幼稚的人;婴儿般对待；百般呵护;蔬菜小型的;宝贝；宝宝；亲爱的
computer,计算机；计算器；计算者;电脑；电子计算机；我的电脑
type,类型；种类；字体；典型;定型；用计算机或打字机打字；测定的类型；分型;型号；类别；型式
attention,注意；关注；注意力；关心;注意；立正;引起注意；注目；注意事项
draw,抽彩；抽奖；抽签；平局;描画；拖动；拉动；牵引;绘制；绘图；画画
film,膜；影片；胶卷；层;在上蒙上薄膜；使生薄膜；使变朦胧；把摄成影片;电影；胶片；菲林
Republican,共和国的；共和政体的；拥护共和政体的；美国共和党的;拥护共和政体的人；共和主义者；美国共和党党员;共和党人；共和的
tree,树；树木；乔木;赶猎兽等上树躲避；〈口〉使处于困境；穷追；把鞋型插入鞋内;树状；树状结构；大树
source,来源；源头；根源；原因;从获得;源极；资料来源；起源
red,红色；红葡萄酒；左翼人士；激进分子;红的；红色的；充血的；布满血丝的;红；赤焰战场；红颜色
nearly,几乎；将近；差不多;大约
organization,组织；机构；团体；安排;组织机构；组织架构；组织结构
choose,选择；选取；挑选；决定;选择性；选定
cause,原因；事业；病因；理由;导致；使；引起；产生;造成；起因
hair,毛发；尤指头发；有毛发或头发的；植物叶茎上的茸毛;发型；发饰；自由发则
look,看；外观；查找；瞧;看；寻找；瞧；注意;显得；似乎；看来好像;听我说;看起来；看上去；注视
point,点；观点；要点；重点;指向；指点；瞄准；指引;分；点数；分数
century,世纪；百年；100年；一个运动员所得的100分;世特力；世纪表；一世纪
evidence,证据；证明；物证；根据;证明；表明；作为的证据;迹象；明显；证物
window,窗口；窗户；窗玻璃；视窗;在安窗子；开窗孔于；计把数据置入窗口;窗口菜单；窗体；窗口对象
difficult,困难的；费力的；难做的；难解的;艰难的；难以；不易相处的
listen,听;倾听；听从；注意地听；听信;聆听；监听；听着
soon,很快；不久；马上；早;女名女子名;一会儿；立刻；很快地
culture,文化；栽培；养殖；培育;培养细胞或细菌;企业文化；文明；教养
billion,〈美法〉十亿；〈英德〉万亿；无数;〈美法〉十亿的；〈英德〉万亿的；无数的;盛达；兆；十亿美元
chance,机会；机遇；偶然；冒险;冒险；拿去冒风险;碰巧；偶然发生;意外的；偶然的；碰巧的;可能性；运气；偶然性
brother,同父母的兄；称男性的共事者或同道同事;表示生气或吃惊;和结成弟兄;兄弟；兄弟牌；哥哥
energy,能源；能量；精力；活力;能力；精力充沛；热量
period,时期；阶段；时代；句点;不用再说了；就是这样；就这么定了；用于强调已经没有讨论的必要;当时的；当年的；那个年代的;用于句末强调不再多说到此为止;周期；句号；期间
course,〈口〉当然;过程；航向；球场；教课程;某种液体流下；某种感觉突然变得很强烈；带着猎犬打猎;一道菜；路线；经过
summer,夏季；夏天;避暑；使度过夏季；夏季放牧家畜;夏季的;夏日；夏装；菊次郎的夏天
less,少；较少；更少；较小;较少;减去；扣除;较小的；较次的；身分较低的;较少的；更少的；更小的
realize,〈正式〉实现；意识到；领悟；理解;认识到；了解；体会
hundred,一百；许多；大量；100到999间的数目;数以百计；许多；〈美〉一百元；一百岁;很多;佰；百个；百个东西
available,可获得的；可购得的；可找到的；有空的;可用的；可得到的；可利用的
plant,植物；工厂；设备；发电厂;种植；栽种；播种；在某处栽种;厂房
likely,可能的；预料的；有希望的；似乎合适的;有可能;很可能的；有可能的；大概
opportunity,机会；时机;机遇；机会分析；机会点
term,术语；期限；任期；词语;把称为；把叫做;学期；项；条款
short,短的；个子矮的；短期的；短暂的;缺少；不足；未达到；不及;卖空股票；故意少给；欺骗；电使短路;少量烈酒；尤指在正片前放映的电影短片;短整型；短裤；短整数
letter,信；字母；函；缝制在运动服上的校运动队字母标志;用字母标明于清单等上；把字母印刷或缝制等于;文字；信件；书信
condition,条件；状态；疾病;决定；护理头发皮肤;状况；情况；环境
choice,选择；抉择；挑选；选择权;优质的；上等的；优选的；质量中上等的;精选的；精选品；特选级
place,地方；位置；地点；场所;安置；安放；认出；使人处于某位置;渠道；放置；销售渠道
single,选拔；棒作一垒手；马单步行进;仅有一个的；单一的；单个的；特指某人或事物;单程票；单曲常指流行音乐；单曲激光唱片；旅馆等的单人房间;单身；未婚；单身的
rule,规则；统治；控制；管理;统治；控制；支配；裁定;规定；法则；基于规则-
daughter,女儿；某地某国等的妇女;女儿般的；生第一代的;专指女儿；产物；子体
administration,行政；行政部门；施行；执行;管理；行政管理；经营
south,南；南方；南部；美国南方各州;南方的；向南的；南部的；南风的;向南；朝南；以南；在之南;天天体向南走；越过子午线；转向南方;南边；南面；南区
husband,丈夫;节俭使用;老公；先生；夫妇之间的尊称
Congress,国会；代表大会；议会；用于某些国家的政党名称国民大会;开会;会议；美国国会；国大党
floor,地板；地面；楼层；底价;使惊奇；使困惑；尤指体育运动中击倒；给安装地板;楼面；下限
campaign,战役；运动为社会商业或政治目的而进行的一系列有计划的活动;领导运动如为实现政治变革或赢得竞选;战役模式；竞选运动；广告活动
material,材料；原料；素材；布料;物质的；客观存在的；重要的；必要的;材质；物料；资料
population,人口；人口数量；族群；统称某领域的生物;总体；群体；种群
well,好；很；大大地；对;井；水井；楼梯井；电梯井道;噢；啊；好啦；嗨;健康；身体好；状态良好；情况良好;涌出；冒出；流出；溢出;；;健康的；嗯；好吧
call,打电话；呼唤；呼吁；要求;呼唤；称呼；召唤；打电话叫;呼叫；调用；访问
economy,经济；节约；经济制度；节省;经济性；经济型；经济学
medical,伤病的；疾病的；医疗的；内科的;体格检查;医学的；医药；医疗保险
hospital,医院;兽医院；医院介绍；去医院看病
church,宗教堂；宗教徒；宗教派；宗教会;使某人去教堂接受宗教仪式;丘奇；礼拜堂；教堂音响效果
close,关闭；接近；收盘；倒闭;接近；靠近；紧挨着；不远地;险些；吝啬；在空间时间上接近；几乎处于某种状态;终结；死胡同；死巷道；大教堂所属的周围场地及建筑物;关闭连接；结束；关上
thousand,千；无数；千的记号;千；无数的;一千；数以千计的；成千上万的；许许多多的;仟；一千个
risk,风险；危险；危险人物；会带来风险的事物;使冒风险或面临危险；冒的风险或危险；冒险做;冒的危险；大战役；战国风云
current,电流；趋势；水流；气流;现在的；现行的；通用的；现在有效的;当前的
fire,火灾；火力；射击；失火;射击；解雇；开火；点火;火焰；火光；火警
future,未来；将来；前景；前途;将来的；未来的；将来发生的;期货；今后；远景
wrong,不对；不正确；错误地;出错；搞错；不道德；错误的;不义行为；欺骗行径；恶行；犯罪;不公正或不诚实对待;错的；有毛病的；不正确的
involve,需要；包含；牵涉；影响;包括；涉及；使卷入
defense,〈美〉同;防御；防守；防御力
anyone,用于否定句疑问句也用于或之后或紧接等动词代替任何人;任何一个；任何一个人；任何学习者
increase,增加；增长；增多;增加；增多;增大；繁殖；提高
security,安全；证券；担保；保证;安全性；保安；保障
bank,银行；岸；库；河畔;存款；把钱存入银行；转弯时倾斜飞行；堆积某物;河岸；堤；组
myself,亲自；用于动作影响说话人或作者时我自己;我亲自；反身代词；我本人
certainly,当然；肯定；无疑；确定;当然可以；一定；当然了
west,西；西方；美国西部；西方与东方国家相对照的欧洲和北美;西方的；向西的；西部的；西风的;向西；朝西;韦斯特；威斯特；西边
sport,体育运动；芽变；消遣；某项体育运动;夸示；嬉戏；得意地穿戴；故意显示;运动比赛用的;运动模式；运动会；运动系列
board,板；委员会；膳食；尤指木板;上船或火车飞机公共汽车等；让乘客登机或上船等;董事会；板子；写字板
seek,寻求；寻找；谋求；争取;寻觅；追求；探索
per,每；每一;蛋白质功效比值；由；垂足
subject,学科；主题；问题；话题;取决于；可能受影响的；易遭受的；视而定;使臣服；使顺从；尤指压服;科目；主语；主体
officer,军官；官员；主任；警官;管理；指挥；配置军官或高级船员；统率;公务员；警察；干事
private,私有的；私用的；自用的；为一部分人的;列兵级别最低的士兵;私人的；个人的；二等兵
rest,休息；长眠；放松；托;其他；其余；剩余部分；休止;休憩；休止符；静止
behavior,行为；性能；表现；生物的习性;举止；态度；行动
deal,协议；发牌；待遇；大量;发牌；非法买卖毒品；贩毒;松木的;交易；处理；应付
performance,性能；表现；业绩；表演;绩效；演出；效能
fight,战斗；打架；作战；打斗;斗争；打架；打斗；搏斗;打仗；争吵
throw,扔；抛；丢；投;扔；抛；摔；投球;投掷；抛出；摔倒
top,顶；顶部；顶端；上面;胜过；超过某一数量；居之首；为之冠;位置级别或程度最高的；很好的；极棒的；顶呱呱的;上衣；突破；高级会员
quickly,迅速地；马上；立刻；飞快地;很快；很快地；快速地
past,过去；昔日；过去的事情；某人过去的经历或事业;超过；晚于；在之后；在另一边;经过；逝去；从一侧到另一侧;过去的；昔日的；刚过去的；刚结束的;的过去分词;越过；往事；过去式
goal,目标；目的；球门；射门;得分；进球；终点
second,其次；第二的；重要性规模质量等居第二位的；另外的;瞬间；片刻；秒时间单位；秒角度单位;附议；临时调派;别的；次的；副的；从属的;第二的；第二次；秒钟
bed,床；河床；海等的底；花坛;把固定在；与某人发生性关系;河床；床位；底座
order,顺序；命令；勋章；规则;命令；整理；定货；下令;订单；秩序；目
author,作者；作家；著者；发起人;编写；写作；著作;创始人；创造者；作者名
fill,填满；满足；弥漫；担任;填满的量；足够的量；吃饱的量；喝足的量;填充；装满；充满
represent,代表；表现；体现；描绘;意味着；相当于；等于;表示；象征；代理
focus,关注；调焦；源；中心点指人或事物;集中注意力精力等于；使调节焦距；集中光束于;焦点；聚焦；专注
foreign,异物；异体；外国的；涉外的;外来的；对外的；国外
drop,滴；水珠；少量；微量;使落下；故意降下；累倒；累垮;丢弃；掉下；删除
plan,计划；方案；打算；平面图;计划；打算；设计；策划;规划；计画；计划阶段
blood,血；血统；有类型的血的；家世;让新人初试;血液；血战；鲜血
upon,强调数目或数量大;在之上；在上；在上面
agency,服务机构；经销机构；政府的专门机构;代理；代理处；代理商
push,推动；推进；按；推销;推；激励；鼓励；搡;推送；异能；压入
nature,自然；本质；大自然；本性;性质；自然界；天性
color,颜色；着色；色素；色调;染；歪曲；给上色；使具有特征;色彩；彩色；色泽
no,没有；无；并不；禁止;没有；不是；不要；用于否定的回答或陈述不;禁止；一个也没有；一点儿也没有；什么也谁也没有;否定的回答；作否定回答的人；统称投反对票者;化同=;一氧化氮；不；没有
recently,最近；近期地；不久以前地;近来；新近；最近地
store,商店；店铺；仓库；大型百货商店;保存；贮藏；贮存；在计算机里存储;贮存的；储备的；〈美〉现成的；畜产的;储存；积蓄；储藏
reduce,减少；使蒸发；减轻体重；节食;减量；降低；简化
sound,明智的；合理的；正确的；可靠的;声音；响声；声响；音响;听起来的；响；鸣警报；拉响警报;酣睡；睡得沉;听起来好像；让人听着好像;音效；声音设置
note,注意；指出；留意；特别提到;笔记；注释；记录；便条;=把选票上的名字全勾掉;备注；纸币；音符
fine,美好的；幽雅的；清秀的；有风度的;罚款；完；晴天；法律获得或更新租契时交纳的地租;对处以罚款；把提纯；变纯；变精致;精巧地;很好；罚金；晴朗的
before,以前；过去；已经;以免；不然；在以前；到为止;在以前；在面前或前面；次序或排列在前面；表示面临或临近;之前；在之前；在前面
near,近；将近；节省地;靠近；在身边;靠近;近的；近亲的；关系深的；近似的;在附近；接近；在旁边
movement,移动；活动；迁移；乐章;运动；动作；机芯
page,版；版面；历史篇页指历史大事或时期;在公共传呼系统上呼叫；用传呼机传呼某人;页面；聚丙烯酰胺凝胶电泳；页码
enter,进入；进去；加入；进来;回车键；输入；按回车
share,共享；分享；分担；分摊;股份；在若干人之间分得的一份;份额；股票；共有
than,比；除以外；刚刚就；与其毋宁宁愿不如索性;小于；用以引出比较的第二部分比；表示一事紧跟另一事发生就;比较级；比起；与相比较
common,常见的；通常的；普遍的；共有的;公共用地；公地；学校大学等的学生公共食堂;普通的；共同的；公共的
poor,穷人；贫困者;贫乏；缺乏；缺少；贫穷的;差；可怜的；不良
other,其他；另一个；另外；对面;另外一个；别的东西；其他的东西；其余的一个;另样地；不是那样;其它；另外的；他者
natural,自然的；天然的；正常的；意料之中的;有天赋的人；擅长做某事的人；本位号书写符号为;自然人；自然色；自然界的
race,种族；赛跑；竞争；民族;和比赛；参加比赛；使比赛；让参加速度比赛;人种的;黄婉伶；竞赛
concern,关心；忧虑；公司；企业;涉及；影响；牵涉；与有关;关注；关系到；担心
series,串联；一系列；连续；接连;级数；丛书；序列
significant,有重大意义的；显著的；有某种意义的；别有含义的;重要的；有意义的；重大的
similar,类似的；相像的；相仿的;类似物；相像的人；相似物;相似的；选区相似；同样的
hot,温度高的；热的；觉得闷或燥湿热；使人感到热的;〈英〉变热；变得激动；骚动起来；使骚动;趁热；猛烈地；愤怒地;热门；热点；辣的
language,语言；言语；说话；某种类型的言语或语言;语言设定；语文；语种
each,每个;每;每;各；各自；每一
usually,通常；一般；常常;经常；通常地；平常
response,响应；反应；答复；礼拜仪式中的答唱咏;回应；回答；应答
dead,死；死人；死者;筋疲力尽；麻木；麻木不仁；死的;绝对；非常；完全地；全然地;死亡；无生命的；死亡的
rise,上升；增长；提高；升起;上升；提高；加薪；斜坡;上涨；升高；崛起
animal,兽；牲畜；动物不包括鸟鱼爬行动物昆虫和人;肉体的；肉欲的；情欲的;派对动物；动物界；动物的
factor,因子；因素；系数；要素;数把化为因子因数；为充当代理商；代理经营；代管产业;因式
decade,十年;年代；十年期；十年间
article,论文；物件；协议契约的条款;列举罪状；控告；把逐条登载；用条款约束;文章；冠词；物品
shoot,幼苗；嫩芽；新枝；拍摄;开枪或其他武器；射击；发射；射杀;避免说；让某人把话说出来说吧;射门；投篮；开枪
east,东；东部；东方；东边;东方的；向东的；东部的；东风的;向东；朝东;易事特；东区；东面
save,保存；拯救；节省；节约;除了；除外;除了;守门员的救球;储存；存储；存档
seven,七;〈比喻〉十分；七岁；七点钟；七个人;七宗罪；柒；赛文
artist,艺人；大师；美术家如画家雕塑家等;艺术家；依艺人；美工
away,离开；不在；时间或空间上离开某距离；去别处;运动在对方场地上比赛的;客场；远离；离去
scene,现场；景象；情景；景色;场景；一场
stock,股票；库存；储备；牲畜;库存；储备；在湖里河里放鱼；给农场购买家畜;老一套的；常备的;存货；紫罗兰；存量
career,职业；事业；生涯；经历;〈美〉职业性质的;飞奔;职业生涯；工作；专业
despite,尽管；即使；尽管自己不愿意;怨恨；恶意；轻蔑；侮辱;不管；不顾；任凭
central,最重要的；首要的；主要的；起支配作用的;〈美〉电话总局；接线员;中环；中心的；中央的
eight,八人划船队；由八人划的船;八;捌；八个；第八
thus,因此；这样；如此；从而;因而；于是；由此
treatment,治疗；处理；待遇；疗法;对待；处置；治疗方法
beyond,超出；在或向较远的一边；晚于；迟于;那边;以远；在另一边；在或向更远处;超越；黄家驹；超过
happy,感到或显得快乐的；高兴的；给予或带来快乐的；使人高兴的;幸福的；开心；欢乐
exactly,到底；确切地；准确地；精确地;正是；完全正确；恰恰
protect,保护；防护；制定法律保护；通过征关税保护国内企业;保卫；警戒；护盾
approach,方法；接近；路径；道路;接近；建议；接洽；着手处理;靠近；途径；走近
lie,谎言；巢；高尔夫球的球位；〔英口〕躺;编造谎言；欺骗；哄骗；隐瞒;说谎；撒谎；位于
size,大小；号；尺码；浆料;上浆；标定的大小；确定的尺寸；改变的大小;规格；规模；商品尺码
dog,跟踪；笼罩在心头；弄得狼狈不堪；被困扰;动犬；动雄性的犬科动物；常用于形容词后；〈侮辱〉卑鄙的人;狗；小狗；狗狗
fund,基金；资金；专款；储备;为提供资金；拨款给;存款；资助；现款
serious,不好的；严重的；有危险的；需认真思考的;严肃的；认真的；重要的
occur,发生；出现；存在于；出现在;被想到；想起；产生
media,大众传播媒介;媒体；传媒；媒体报道
ready,准备好；准备完毕；已完成；可利用;已做完；已完成;做好的准备；为做好准备;现钱;准备好的；就绪；准备好了
sign,签名；签署；叹息；预示;符号；信号；表示；招牌;标记；记号；标志
thought,思想；思考；想法；打算;思考;思维；念头；认为
list,表；名单；倾斜性；布条;登记；船等倾斜；列入名单簿中；〔诗〕听;列表；模块内容加载中；清单
individual,个人；与众不同的人；有个性的人；某种类型的人;单独的；个别的；一个人的；供一人用的;个体；独特的；个体的
simple,笨；易于理解的；易做的；简单的;单体；头脑简单的人；药草制剂；〈古〉药用植物;简约；简易的；单纯的
quality,质量；品质；上乘；优质;优质的；高质量的；盖帽儿了；棒极了;性质；素质；特性
pressure,压力；压强；挤压；大气压;逼迫；使迫不得已;压迫；强制；电压
accept,承认；接纳；同意；认可;接受；接收；承兑
answer,回答；答案；答复；试题练习等的答案;回答；答复；符合；适合;响应；回复；应答
hard,努力地；艰难地；费力地；猛烈地;坚固的；坚硬的；结实的；难做的;〈英〉硬海滩；〈英俚〉囚犯的强迫苦役;困难；困难的
resource,资源；资料；才智；财力;向提供资金或设备;办法；最新资源；资源类型
identify,鉴定；确认；发现；找到;识别；认出；辨认
left,左；左边；左方；左转弯;向左；在左边;左边的;的过去式和过去分词;左对齐；左侧；离开
meeting,会议；会面；集会；集合;的现在分词;会见；开会；聚会
determine,确定；决定；测定；查明;决心；下决心；决意
prepare,调制；使做好准备；把预备好；使自己有准备;筹备；配制；拍摄准备
disease,病；疾病；恶疾；痼疾;病害；弊病；病症
whatever,连接代词无论；什么都；〈俚〉究竟什么;任何；不管什么；无所谓；每一;任何都；无论怎样都；一点儿也;无论什么；随便；任何方式
success,成功；胜利；发财；成名;成就；成功案例；成功篇
argue,争论；争辩；争吵；论证;辩论；说服；主张
cup,杯子；杯赛；奖杯；一杯的量;=英国剑桥大学出版社;使手窝成杯状；使双手成圆状托起;茶杯；罩杯；古巴比索
particularly,特别；尤其;特别地；特别是；格外
amount,数量；金额；数额;等于；总计；成为;总数；总额；合计
ability,能力；能够；才能；能干;才干；技能；本领
staff,五线谱；拐杖；权杖；全体职工或雇员;在工作；任职于；为配备职员;员工；工作人员；全体职员
recognize,认识；承认；认出；意识到;认可；认清；公认
indicate,指示；表明；显示；指出;象征；表示；预示
character,特征；特性；性格；角色;刻；画；表现的特性；使具有特性;字符；人物；品格
